"","ID","Abundance","pct_pass"
"1","BA_1_S92_PE",104378,"84.81"
"2","BA_2_S61_PE",45366,"87.58"
"3","BOU_1_S94_PE",72454,"87.26"
"4","BOU_2_S80_PE",55819,"92.74"
"5","CHILDS_1_S11_PE",60959,"90.40"
"6","CHILDS_2_S12_PE",48993,"88.67"
"7","CLR_1_S59_PE",5908,"96.71"
"8","CLR_2_S60_PE",1510,"94.87"
"9","COL_1_S86_PE",44023,"89.76"
"10","COL_2_S81_PE",31419,"97.09"
