"","Sample","Sequ_count_in","Sequ_count_out","pct_pass"
"84","TS_2_S78_PE_cut_minmax.fastq","60235","59577","98.91"
"85","Undetermined_S0_PE_cut_minmax.fastq","95034","91403","96.18"
"86","VRBF_1_S9_PE_cut_minmax.fastq","57193","56990","99.65"
"87","VRBF_2_S10_PE_cut_minmax.fastq","52044","51573","99.09"
"88","VRSB_1_S5_PE_cut_minmax.fastq","69180","68958","99.68"
"89","VRSB_2_S6_PE_cut_minmax.fastq","56299","56286","99.98"
"90","WBC_1_S17_PE_cut_minmax.fastq","69547","69495","99.93"
"91","WBC_2_S18_PE_cut_minmax.fastq","52096","52066","99.94"
"92","WCC_1_S1_PE_cut_minmax.fastq","74125","74112","99.98"
"93","WCC_2_S2_PE_cut_minmax.fastq","76155","76127","99.96"
"94","WFOC_1_S15_PE_cut_minmax.fastq","71365","71137","99.68"
"95","WFOC_2_S16_PE_cut_minmax.fastq","67402","67087","99.53"
