"length","reads","rel","col"
28,1,0.001459,"#ffffb2"
33,3,0.004378,"#ffffb2"
34,8,0.011674,"#fed976"
35,21,0.030643,"#fed976"
36,14,0.020429,"#fed976"
37,27,0.039398,"#fed976"
38,17,0.024806,"#fed976"
39,8,0.011674,"#fed976"
40,6,0.008755,"#ffffb2"
49,36,0.052531,"#fed976"
50,52,0.075878,"#fed976"
51,58,0.084633,"#fed976"
52,70,0.102144,"#feb24c"
53,34,0.049613,"#fed976"
54,26,0.037939,"#fed976"
55,18,0.026265,"#fed976"
57,4,0.005837,"#ffffb2"
58,8,0.011674,"#fed976"
59,6,0.008755,"#ffffb2"
60,5,0.007296,"#ffffb2"
61,7,0.010214,"#fed976"
62,5,0.007296,"#ffffb2"
63,1,0.001459,"#ffffb2"
64,1,0.001459,"#ffffb2"
169,1,0.001459,"#ffffb2"
170,1,0.001459,"#ffffb2"
176,1,0.001459,"#ffffb2"
177,4,0.005837,"#ffffb2"
178,2,0.002918,"#ffffb2"
179,2,0.002918,"#ffffb2"
180,1,0.001459,"#ffffb2"
181,2,0.002918,"#ffffb2"
183,3,0.004378,"#ffffb2"
184,7,0.010214,"#fed976"
185,3,0.004378,"#ffffb2"
186,9,0.013133,"#fed976"
187,15,0.021888,"#fed976"
188,33,0.048153,"#fed976"
189,590,0.860924,"#feb24c"
190,1837,2.680539,"#fd8d3c"
191,7441,10.85786,"#fc4e2a"
192,11854,17.297282,"#fc4e2a"
193,14143,20.637376,"#fc4e2a"
194,15139,22.090733,"#fc4e2a"
195,9619,14.035984,"#fc4e2a"
196,5087,7.422918,"#fd8d3c"
197,2244,3.274431,"#fd8d3c"
198,42,0.061286,"#fed976"
199,3,0.004378,"#ffffb2"
203,1,0.001459,"#ffffb2"
204,1,0.001459,"#ffffb2"
210,4,0.005837,"#ffffb2"
211,1,0.001459,"#ffffb2"
237,1,0.001459,"#ffffb2"
290,1,0.001459,"#ffffb2"
340,1,0.001459,"#ffffb2"
357,1,0.001459,"#ffffb2"
361,1,0.001459,"#ffffb2"
