"length","reads","rel","col"
13,1,0.000875,"#ffffb2"
14,4,0.0035,"#ffffb2"
15,5,0.004375,"#ffffb2"
16,4,0.0035,"#ffffb2"
17,7,0.006125,"#ffffb2"
19,2,0.00175,"#ffffb2"
20,5,0.004375,"#ffffb2"
21,6,0.00525,"#ffffb2"
22,2,0.00175,"#ffffb2"
23,4,0.0035,"#ffffb2"
24,4,0.0035,"#ffffb2"
25,15,0.013124,"#fed976"
26,23,0.020124,"#fed976"
27,18,0.015749,"#fed976"
28,25,0.021873,"#fed976"
29,32,0.027998,"#fed976"
30,32,0.027998,"#fed976"
31,35,0.030623,"#fed976"
32,63,0.055121,"#fed976"
33,242,0.211735,"#feb24c"
34,1805,1.579261,"#fd8d3c"
35,3309,2.895165,"#fd8d3c"
36,4311,3.771852,"#fd8d3c"
37,5196,4.54617,"#fd8d3c"
38,3897,3.409628,"#fd8d3c"
39,2284,1.998355,"#fd8d3c"
40,1180,1.032425,"#fd8d3c"
41,82,0.071745,"#fed976"
42,18,0.015749,"#fed976"
43,1,0.000875,"#ffffb2"
44,1,0.000875,"#ffffb2"
45,1,0.000875,"#ffffb2"
46,1,0.000875,"#ffffb2"
47,6,0.00525,"#ffffb2"
48,17,0.014874,"#fed976"
49,948,0.82944,"#feb24c"
50,1549,1.355277,"#fd8d3c"
51,1827,1.598509,"#fd8d3c"
52,2161,1.890738,"#fd8d3c"
53,1635,1.430521,"#fd8d3c"
54,1227,1.073547,"#fd8d3c"
55,1525,1.334278,"#fd8d3c"
56,2033,1.778746,"#fd8d3c"
57,2522,2.20659,"#fd8d3c"
58,2984,2.610811,"#fd8d3c"
59,2552,2.232838,"#fd8d3c"
60,1918,1.678128,"#fd8d3c"
61,1246,1.090171,"#fd8d3c"
62,540,0.472466,"#feb24c"
63,229,0.20036,"#feb24c"
64,85,0.07437,"#fed976"
65,18,0.015749,"#fed976"
66,20,0.017499,"#fed976"
67,18,0.015749,"#fed976"
68,18,0.015749,"#fed976"
69,26,0.022748,"#fed976"
70,26,0.022748,"#fed976"
71,22,0.019249,"#fed976"
72,31,0.027123,"#fed976"
73,14,0.012249,"#fed976"
74,10,0.008749,"#ffffb2"
75,8,0.006999,"#ffffb2"
76,6,0.00525,"#ffffb2"
77,7,0.006125,"#ffffb2"
78,4,0.0035,"#ffffb2"
79,5,0.004375,"#ffffb2"
80,3,0.002625,"#ffffb2"
81,2,0.00175,"#ffffb2"
87,1,0.000875,"#ffffb2"
90,1,0.000875,"#ffffb2"
94,1,0.000875,"#ffffb2"
96,1,0.000875,"#ffffb2"
118,1,0.000875,"#ffffb2"
134,1,0.000875,"#ffffb2"
177,2,0.00175,"#ffffb2"
178,1,0.000875,"#ffffb2"
181,1,0.000875,"#ffffb2"
182,1,0.000875,"#ffffb2"
183,4,0.0035,"#ffffb2"
184,5,0.004375,"#ffffb2"
185,2,0.00175,"#ffffb2"
186,3,0.002625,"#ffffb2"
187,3,0.002625,"#ffffb2"
188,26,0.022748,"#fed976"
189,223,0.195111,"#feb24c"
190,823,0.720073,"#feb24c"
191,6674,5.839327,"#fd8d3c"
192,11356,9.93578,"#fd8d3c"
193,13765,12.043502,"#fc4e2a"
194,15571,13.623637,"#fc4e2a"
195,10092,8.82986,"#fd8d3c"
196,5389,4.715033,"#fd8d3c"
197,2440,2.134845,"#fd8d3c"
198,41,0.035872,"#fed976"
199,1,0.000875,"#ffffb2"
216,1,0.000875,"#ffffb2"
227,1,0.000875,"#ffffb2"
235,1,0.000875,"#ffffb2"
341,1,0.000875,"#ffffb2"
362,2,0.00175,"#ffffb2"
366,1,0.000875,"#ffffb2"
368,1,0.000875,"#ffffb2"
