"length","reads","rel","col"
15,1,0.001236,"#ffffb2"
17,2,0.002472,"#ffffb2"
24,1,0.001236,"#ffffb2"
25,4,0.004944,"#ffffb2"
26,2,0.002472,"#ffffb2"
27,5,0.00618,"#ffffb2"
28,4,0.004944,"#ffffb2"
29,5,0.00618,"#ffffb2"
30,1,0.001236,"#ffffb2"
31,1,0.001236,"#ffffb2"
32,4,0.004944,"#ffffb2"
33,17,0.021013,"#fed976"
34,220,0.271937,"#feb24c"
35,377,0.466002,"#feb24c"
36,493,0.609387,"#feb24c"
37,573,0.708273,"#feb24c"
38,423,0.522861,"#feb24c"
39,249,0.307784,"#feb24c"
40,100,0.123608,"#feb24c"
41,5,0.00618,"#ffffb2"
45,1,0.001236,"#ffffb2"
46,2,0.002472,"#ffffb2"
48,6,0.007416,"#ffffb2"
49,213,0.263285,"#feb24c"
50,401,0.495668,"#feb24c"
51,459,0.56736,"#feb24c"
52,479,0.592082,"#feb24c"
53,299,0.369588,"#feb24c"
54,209,0.25834,"#feb24c"
55,88,0.108775,"#feb24c"
56,11,0.013597,"#fed976"
57,81,0.100122,"#feb24c"
58,112,0.138441,"#feb24c"
59,152,0.187884,"#feb24c"
60,173,0.213842,"#feb24c"
61,95,0.117427,"#feb24c"
62,46,0.05686,"#fed976"
63,23,0.02843,"#fed976"
64,1,0.001236,"#ffffb2"
65,1,0.001236,"#ffffb2"
69,1,0.001236,"#ffffb2"
86,1,0.001236,"#ffffb2"
88,2,0.002472,"#ffffb2"
89,1,0.001236,"#ffffb2"
97,1,0.001236,"#ffffb2"
98,1,0.001236,"#ffffb2"
99,4,0.004944,"#ffffb2"
100,8,0.009889,"#ffffb2"
101,5,0.00618,"#ffffb2"
102,4,0.004944,"#ffffb2"
103,4,0.004944,"#ffffb2"
104,2,0.002472,"#ffffb2"
130,1,0.001236,"#ffffb2"
134,1,0.001236,"#ffffb2"
135,1,0.001236,"#ffffb2"
164,3,0.003708,"#ffffb2"
165,3,0.003708,"#ffffb2"
166,4,0.004944,"#ffffb2"
167,2,0.002472,"#ffffb2"
180,1,0.001236,"#ffffb2"
181,1,0.001236,"#ffffb2"
182,1,0.001236,"#ffffb2"
183,4,0.004944,"#ffffb2"
184,7,0.008653,"#ffffb2"
185,6,0.007416,"#ffffb2"
186,1,0.001236,"#ffffb2"
187,3,0.003708,"#ffffb2"
188,9,0.011125,"#fed976"
189,32,0.039555,"#fed976"
190,164,0.202717,"#feb24c"
191,6351,7.850336,"#fd8d3c"
192,11778,14.558535,"#fc4e2a"
193,15437,19.081346,"#fc4e2a"
194,18466,22.825429,"#fc4e2a"
195,12671,15.662353,"#fc4e2a"
196,7117,8.797172,"#fd8d3c"
197,3433,4.243458,"#fd8d3c"
198,28,0.03461,"#fed976"
210,1,0.001236,"#ffffb2"
235,1,0.001236,"#ffffb2"
374,1,0.001236,"#ffffb2"
