"length","reads","rel","col"
25,2,0.001125,"#ffffb2"
26,1,0.000562,"#ffffb2"
27,1,0.000562,"#ffffb2"
30,1,0.000562,"#ffffb2"
31,1,0.000562,"#ffffb2"
32,1,0.000562,"#ffffb2"
33,3,0.001687,"#ffffb2"
34,58,0.032616,"#fed976"
35,117,0.065794,"#fed976"
36,147,0.082664,"#fed976"
37,172,0.096723,"#fed976"
38,157,0.088288,"#fed976"
39,79,0.044425,"#fed976"
40,59,0.033178,"#fed976"
41,2,0.001125,"#ffffb2"
48,1,0.000562,"#ffffb2"
52,1,0.000562,"#ffffb2"
54,1,0.000562,"#ffffb2"
60,1,0.000562,"#ffffb2"
79,1,0.000562,"#ffffb2"
97,1,0.000562,"#ffffb2"
134,1,0.000562,"#ffffb2"
149,1,0.000562,"#ffffb2"
162,1,0.000562,"#ffffb2"
171,2,0.001125,"#ffffb2"
172,1,0.000562,"#ffffb2"
175,1,0.000562,"#ffffb2"
178,1,0.000562,"#ffffb2"
179,1,0.000562,"#ffffb2"
180,2,0.001125,"#ffffb2"
181,1,0.000562,"#ffffb2"
182,5,0.002812,"#ffffb2"
183,7,0.003936,"#ffffb2"
184,6,0.003374,"#ffffb2"
185,8,0.004499,"#ffffb2"
186,12,0.006748,"#ffffb2"
187,16,0.008997,"#ffffb2"
188,52,0.029242,"#fed976"
189,431,0.242369,"#feb24c"
190,4617,2.596329,"#fd8d3c"
191,19003,10.686169,"#fc4e2a"
192,30938,17.39771,"#fc4e2a"
193,38255,21.51236,"#fc4e2a"
194,39194,22.040399,"#fc4e2a"
195,25082,14.10464,"#fc4e2a"
196,13690,7.69845,"#fd8d3c"
197,5621,3.16092,"#fd8d3c"
198,61,0.034303,"#fed976"
199,1,0.000562,"#ffffb2"
201,1,0.000562,"#ffffb2"
202,1,0.000562,"#ffffb2"
204,1,0.000562,"#ffffb2"
211,1,0.000562,"#ffffb2"
224,1,0.000562,"#ffffb2"
236,1,0.000562,"#ffffb2"
379,1,0.000562,"#ffffb2"
449,1,0.000562,"#ffffb2"
452,2,0.001125,"#ffffb2"
