"length","reads","rel","col"
14,2,0.002374,"#ffffb2"
15,3,0.003561,"#ffffb2"
16,1,0.001187,"#ffffb2"
17,3,0.003561,"#ffffb2"
18,1,0.001187,"#ffffb2"
19,2,0.002374,"#ffffb2"
20,3,0.003561,"#ffffb2"
21,5,0.005934,"#ffffb2"
22,1,0.001187,"#ffffb2"
23,1,0.001187,"#ffffb2"
25,9,0.010682,"#fed976"
26,17,0.020176,"#fed976"
27,33,0.039166,"#fed976"
28,85,0.100882,"#feb24c"
29,32,0.037979,"#fed976"
30,14,0.016616,"#fed976"
31,18,0.021363,"#fed976"
32,22,0.026111,"#fed976"
33,127,0.150729,"#feb24c"
34,942,1.118008,"#fd8d3c"
35,1658,1.967789,"#fd8d3c"
36,2251,2.671588,"#fd8d3c"
37,2756,3.270945,"#fd8d3c"
38,2003,2.377251,"#fd8d3c"
39,1340,1.590372,"#fd8d3c"
40,679,0.805868,"#feb24c"
41,51,0.060529,"#fed976"
42,16,0.01899,"#fed976"
44,1,0.001187,"#ffffb2"
45,2,0.002374,"#ffffb2"
46,2,0.002374,"#ffffb2"
48,8,0.009495,"#ffffb2"
49,264,0.313327,"#feb24c"
50,400,0.474738,"#feb24c"
51,567,0.672941,"#feb24c"
52,653,0.77501,"#feb24c"
53,406,0.481859,"#feb24c"
54,323,0.383351,"#feb24c"
55,214,0.253985,"#feb24c"
56,262,0.310953,"#feb24c"
57,917,1.088337,"#fd8d3c"
58,1398,1.659209,"#fd8d3c"
59,1794,2.1292,"#fd8d3c"
60,1943,2.30604,"#fd8d3c"
61,1435,1.703123,"#fd8d3c"
62,918,1.089524,"#fd8d3c"
63,458,0.543575,"#feb24c"
64,204,0.242116,"#feb24c"
65,97,0.115124,"#feb24c"
66,74,0.087827,"#fed976"
67,56,0.066463,"#fed976"
68,58,0.068837,"#fed976"
69,102,0.121058,"#feb24c"
70,112,0.132927,"#feb24c"
71,126,0.149542,"#feb24c"
72,131,0.155477,"#feb24c"
73,57,0.06765,"#fed976"
74,31,0.036792,"#fed976"
75,11,0.013055,"#fed976"
76,3,0.003561,"#ffffb2"
77,3,0.003561,"#ffffb2"
78,4,0.004747,"#ffffb2"
79,4,0.004747,"#ffffb2"
80,9,0.010682,"#fed976"
81,4,0.004747,"#ffffb2"
82,5,0.005934,"#ffffb2"
83,1,0.001187,"#ffffb2"
85,1,0.001187,"#ffffb2"
89,1,0.001187,"#ffffb2"
96,1,0.001187,"#ffffb2"
110,1,0.001187,"#ffffb2"
170,1,0.001187,"#ffffb2"
171,1,0.001187,"#ffffb2"
178,2,0.002374,"#ffffb2"
179,1,0.001187,"#ffffb2"
180,1,0.001187,"#ffffb2"
181,1,0.001187,"#ffffb2"
182,1,0.001187,"#ffffb2"
183,2,0.002374,"#ffffb2"
184,2,0.002374,"#ffffb2"
185,5,0.005934,"#ffffb2"
186,3,0.003561,"#ffffb2"
187,5,0.005934,"#ffffb2"
188,23,0.027297,"#fed976"
189,101,0.119871,"#feb24c"
190,435,0.516278,"#feb24c"
191,5875,6.972714,"#fd8d3c"
192,10065,11.945595,"#fc4e2a"
193,12313,14.613623,"#fc4e2a"
194,13968,16.577851,"#fc4e2a"
195,9020,10.705342,"#fc4e2a"
196,5050,5.993567,"#fd8d3c"
197,2192,2.601564,"#fd8d3c"
198,49,0.058155,"#fed976"
201,1,0.001187,"#ffffb2"
202,1,0.001187,"#ffffb2"
230,1,0.001187,"#ffffb2"
368,1,0.001187,"#ffffb2"
374,1,0.001187,"#ffffb2"
