"length","reads","rel","col"
18,1,0.000921,"#ffffb2"
21,1,0.000921,"#ffffb2"
22,1,0.000921,"#ffffb2"
23,1,0.000921,"#ffffb2"
25,2,0.001842,"#ffffb2"
26,2,0.001842,"#ffffb2"
27,5,0.004605,"#ffffb2"
28,2,0.001842,"#ffffb2"
30,3,0.002763,"#ffffb2"
31,5,0.004605,"#ffffb2"
32,3,0.002763,"#ffffb2"
33,24,0.022106,"#fed976"
34,215,0.198034,"#feb24c"
35,399,0.367515,"#feb24c"
36,475,0.437518,"#feb24c"
37,600,0.552654,"#feb24c"
38,402,0.370278,"#feb24c"
39,262,0.241326,"#feb24c"
40,137,0.126189,"#feb24c"
41,6,0.005527,"#ffffb2"
42,3,0.002763,"#ffffb2"
48,2,0.001842,"#ffffb2"
49,228,0.210009,"#feb24c"
50,392,0.361067,"#feb24c"
51,502,0.462387,"#feb24c"
52,592,0.545285,"#feb24c"
53,385,0.35462,"#feb24c"
54,195,0.179613,"#feb24c"
55,98,0.090267,"#fed976"
56,45,0.041449,"#fed976"
57,167,0.153822,"#feb24c"
58,228,0.210009,"#feb24c"
59,368,0.338961,"#feb24c"
60,395,0.363831,"#feb24c"
61,248,0.22843,"#feb24c"
62,141,0.129874,"#feb24c"
63,71,0.065397,"#fed976"
64,16,0.014737,"#fed976"
66,1,0.000921,"#ffffb2"
67,1,0.000921,"#ffffb2"
86,1,0.000921,"#ffffb2"
90,2,0.001842,"#ffffb2"
99,1,0.000921,"#ffffb2"
105,1,0.000921,"#ffffb2"
114,1,0.000921,"#ffffb2"
130,1,0.000921,"#ffffb2"
133,1,0.000921,"#ffffb2"
179,1,0.000921,"#ffffb2"
180,2,0.001842,"#ffffb2"
181,6,0.005527,"#ffffb2"
182,2,0.001842,"#ffffb2"
183,2,0.001842,"#ffffb2"
184,2,0.001842,"#ffffb2"
185,10,0.009211,"#ffffb2"
186,12,0.011053,"#fed976"
187,13,0.011974,"#fed976"
188,33,0.030396,"#fed976"
189,613,0.564628,"#feb24c"
190,2007,1.848628,"#fd8d3c"
191,10644,9.804084,"#fd8d3c"
192,17617,16.226846,"#fc4e2a"
193,21222,19.547376,"#fc4e2a"
194,23140,21.314027,"#fc4e2a"
195,14878,13.70398,"#fc4e2a"
196,8135,7.493069,"#fd8d3c"
197,3534,3.255133,"#fd8d3c"
198,45,0.041449,"#fed976"
199,1,0.000921,"#ffffb2"
209,1,0.000921,"#ffffb2"
217,1,0.000921,"#ffffb2"
219,1,0.000921,"#ffffb2"
227,1,0.000921,"#ffffb2"
236,1,0.000921,"#ffffb2"
237,1,0.000921,"#ffffb2"
238,1,0.000921,"#ffffb2"
289,1,0.000921,"#ffffb2"
302,1,0.000921,"#ffffb2"
304,1,0.000921,"#ffffb2"
326,1,0.000921,"#ffffb2"
328,1,0.000921,"#ffffb2"
340,1,0.000921,"#ffffb2"
370,1,0.000921,"#ffffb2"
394,1,0.000921,"#ffffb2"
436,1,0.000921,"#ffffb2"
