"length","reads","rel","col"
16,1,0.00726,"#ffffb2"
17,1,0.00726,"#ffffb2"
25,1,0.00726,"#ffffb2"
28,3,0.02178,"#fed976"
29,1,0.00726,"#ffffb2"
31,2,0.01452,"#fed976"
32,1,0.00726,"#ffffb2"
33,9,0.06534,"#fed976"
34,71,0.515464,"#feb24c"
35,168,1.219689,"#fd8d3c"
36,196,1.422971,"#fd8d3c"
37,228,1.655293,"#fd8d3c"
38,174,1.26325,"#fd8d3c"
39,69,0.500944,"#feb24c"
40,34,0.246842,"#feb24c"
49,1,0.00726,"#ffffb2"
50,1,0.00726,"#ffffb2"
54,1,0.00726,"#ffffb2"
56,1,0.00726,"#ffffb2"
57,2,0.01452,"#fed976"
58,3,0.02178,"#fed976"
59,7,0.05082,"#fed976"
60,5,0.0363,"#fed976"
61,8,0.05808,"#fed976"
62,4,0.02904,"#fed976"
63,4,0.02904,"#fed976"
64,2,0.01452,"#fed976"
80,1,0.00726,"#ffffb2"
106,1,0.00726,"#ffffb2"
107,2,0.01452,"#fed976"
108,1,0.00726,"#ffffb2"
183,2,0.01452,"#fed976"
184,1,0.00726,"#ffffb2"
186,1,0.00726,"#ffffb2"
187,1,0.00726,"#ffffb2"
189,26,0.188761,"#feb24c"
190,149,1.081748,"#fd8d3c"
191,1228,8.915348,"#fd8d3c"
192,2143,15.558298,"#fc4e2a"
193,2635,19.130245,"#fc4e2a"
194,2898,21.03964,"#fc4e2a"
195,2076,15.071875,"#fc4e2a"
196,1120,8.131262,"#fd8d3c"
197,485,3.521127,"#fd8d3c"
198,3,0.02178,"#fed976"
199,1,0.00726,"#ffffb2"
200,1,0.00726,"#ffffb2"
231,1,0.00726,"#ffffb2"
