"length","reads","rel","col"
15,1,0.001222,"#ffffb2"
16,1,0.001222,"#ffffb2"
19,1,0.001222,"#ffffb2"
23,1,0.001222,"#ffffb2"
25,3,0.003667,"#ffffb2"
26,1,0.001222,"#ffffb2"
27,2,0.002445,"#ffffb2"
28,1,0.001222,"#ffffb2"
29,2,0.002445,"#ffffb2"
30,1,0.001222,"#ffffb2"
31,4,0.00489,"#ffffb2"
32,2,0.002445,"#ffffb2"
33,16,0.019558,"#fed976"
34,175,0.213918,"#feb24c"
35,320,0.391165,"#feb24c"
36,452,0.55252,"#feb24c"
37,512,0.625863,"#feb24c"
38,345,0.421724,"#feb24c"
39,168,0.205361,"#feb24c"
40,76,0.092902,"#fed976"
41,1,0.001222,"#ffffb2"
48,3,0.003667,"#ffffb2"
49,80,0.097791,"#fed976"
50,112,0.136908,"#feb24c"
51,158,0.193138,"#feb24c"
52,158,0.193138,"#feb24c"
53,115,0.140575,"#feb24c"
54,64,0.078233,"#fed976"
55,27,0.033005,"#fed976"
57,4,0.00489,"#ffffb2"
58,5,0.006112,"#ffffb2"
59,6,0.007334,"#ffffb2"
60,16,0.019558,"#fed976"
61,10,0.012224,"#fed976"
62,3,0.003667,"#ffffb2"
63,1,0.001222,"#ffffb2"
64,1,0.001222,"#ffffb2"
65,1,0.001222,"#ffffb2"
127,1,0.001222,"#ffffb2"
168,1,0.001222,"#ffffb2"
177,1,0.001222,"#ffffb2"
179,1,0.001222,"#ffffb2"
180,1,0.001222,"#ffffb2"
183,1,0.001222,"#ffffb2"
184,6,0.007334,"#ffffb2"
185,3,0.003667,"#ffffb2"
186,8,0.009779,"#ffffb2"
187,10,0.012224,"#fed976"
188,14,0.017113,"#fed976"
189,170,0.207806,"#feb24c"
190,737,0.900901,"#feb24c"
191,7589,9.276712,"#fd8d3c"
192,12965,15.848277,"#fc4e2a"
193,16460,20.120528,"#fc4e2a"
194,18896,23.098268,"#fc4e2a"
195,12015,14.687007,"#fc4e2a"
196,6923,8.462601,"#fd8d3c"
197,3116,3.808965,"#fd8d3c"
198,32,0.039116,"#fed976"
199,1,0.001222,"#ffffb2"
204,3,0.003667,"#ffffb2"
205,2,0.002445,"#ffffb2"
208,1,0.001222,"#ffffb2"
288,1,0.001222,"#ffffb2"
