"length","reads","rel","col"
14,1,0.000711,"#ffffb2"
15,1,0.000711,"#ffffb2"
16,1,0.000711,"#ffffb2"
18,1,0.000711,"#ffffb2"
19,1,0.000711,"#ffffb2"
20,1,0.000711,"#ffffb2"
23,1,0.000711,"#ffffb2"
24,1,0.000711,"#ffffb2"
25,4,0.002846,"#ffffb2"
26,4,0.002846,"#ffffb2"
27,5,0.003557,"#ffffb2"
28,4,0.002846,"#ffffb2"
29,4,0.002846,"#ffffb2"
30,4,0.002846,"#ffffb2"
31,6,0.004269,"#ffffb2"
32,7,0.00498,"#ffffb2"
33,35,0.0249,"#fed976"
34,324,0.230502,"#feb24c"
35,618,0.439661,"#feb24c"
36,808,0.574831,"#feb24c"
37,966,0.687236,"#feb24c"
38,679,0.483057,"#feb24c"
39,387,0.275321,"#feb24c"
40,198,0.140862,"#feb24c"
41,8,0.005691,"#ffffb2"
42,1,0.000711,"#ffffb2"
43,1,0.000711,"#ffffb2"
44,1,0.000711,"#ffffb2"
45,1,0.000711,"#ffffb2"
46,4,0.002846,"#ffffb2"
47,6,0.004269,"#ffffb2"
48,38,0.027034,"#fed976"
49,1760,1.252108,"#fd8d3c"
50,2940,2.091589,"#fd8d3c"
51,3454,2.457261,"#fd8d3c"
52,4098,2.915419,"#fd8d3c"
53,2539,1.806307,"#fd8d3c"
54,1484,1.055754,"#fd8d3c"
55,653,0.46456,"#feb24c"
56,117,0.083237,"#fed976"
57,301,0.214139,"#feb24c"
58,527,0.374921,"#feb24c"
59,651,0.463138,"#feb24c"
60,670,0.476655,"#feb24c"
61,515,0.366384,"#feb24c"
62,321,0.228367,"#feb24c"
63,183,0.130191,"#feb24c"
64,38,0.027034,"#fed976"
66,2,0.001423,"#ffffb2"
67,1,0.000711,"#ffffb2"
68,3,0.002134,"#ffffb2"
69,3,0.002134,"#ffffb2"
70,3,0.002134,"#ffffb2"
71,6,0.004269,"#ffffb2"
72,2,0.001423,"#ffffb2"
80,1,0.000711,"#ffffb2"
87,1,0.000711,"#ffffb2"
88,46,0.032726,"#fed976"
89,126,0.08964,"#fed976"
90,238,0.169319,"#feb24c"
91,381,0.271053,"#feb24c"
92,417,0.296664,"#feb24c"
93,437,0.310893,"#feb24c"
94,402,0.285993,"#feb24c"
95,229,0.162916,"#feb24c"
96,115,0.081814,"#fed976"
97,51,0.036283,"#fed976"
98,4,0.002846,"#ffffb2"
105,1,0.000711,"#ffffb2"
149,1,0.000711,"#ffffb2"
150,1,0.000711,"#ffffb2"
153,1,0.000711,"#ffffb2"
154,1,0.000711,"#ffffb2"
155,46,0.032726,"#fed976"
156,63,0.04482,"#fed976"
157,92,0.065451,"#fed976"
158,101,0.071854,"#fed976"
159,65,0.046243,"#fed976"
160,40,0.028457,"#fed976"
161,22,0.015651,"#fed976"
170,3,0.002134,"#ffffb2"
171,1,0.000711,"#ffffb2"
172,2,0.001423,"#ffffb2"
173,1,0.000711,"#ffffb2"
174,1,0.000711,"#ffffb2"
175,1,0.000711,"#ffffb2"
178,1,0.000711,"#ffffb2"
179,2,0.001423,"#ffffb2"
180,1,0.000711,"#ffffb2"
181,2,0.001423,"#ffffb2"
183,5,0.003557,"#ffffb2"
184,5,0.003557,"#ffffb2"
185,28,0.01992,"#fed976"
186,46,0.032726,"#fed976"
187,61,0.043397,"#fed976"
188,85,0.060471,"#fed976"
189,333,0.236904,"#feb24c"
190,1468,1.044372,"#fd8d3c"
191,11202,7.96938,"#fd8d3c"
192,18903,13.448062,"#fc4e2a"
193,23926,17.021549,"#fc4e2a"
194,26230,18.660672,"#fc4e2a"
195,17228,12.256426,"#fc4e2a"
196,9520,6.772764,"#fd8d3c"
197,4183,2.97589,"#fd8d3c"
198,42,0.02988,"#fed976"
199,1,0.000711,"#ffffb2"
203,2,0.001423,"#ffffb2"
206,1,0.000711,"#ffffb2"
218,1,0.000711,"#ffffb2"
231,1,0.000711,"#ffffb2"
233,1,0.000711,"#ffffb2"
236,1,0.000711,"#ffffb2"
350,1,0.000711,"#ffffb2"
