"length","reads","rel","col"
20,1,0.001062,"#ffffb2"
26,2,0.002123,"#ffffb2"
28,1,0.001062,"#ffffb2"
29,1,0.001062,"#ffffb2"
30,2,0.002123,"#ffffb2"
31,1,0.001062,"#ffffb2"
33,4,0.004246,"#ffffb2"
34,58,0.061569,"#fed976"
35,94,0.099785,"#fed976"
36,102,0.108277,"#feb24c"
37,170,0.180461,"#feb24c"
38,105,0.111461,"#feb24c"
39,43,0.045646,"#fed976"
40,23,0.024415,"#fed976"
49,2,0.002123,"#ffffb2"
51,4,0.004246,"#ffffb2"
52,2,0.002123,"#ffffb2"
53,1,0.001062,"#ffffb2"
54,26,0.0276,"#fed976"
55,47,0.049892,"#fed976"
56,61,0.064754,"#fed976"
57,70,0.074308,"#fed976"
58,57,0.060508,"#fed976"
59,59,0.062631,"#fed976"
60,49,0.052015,"#fed976"
61,35,0.037154,"#fed976"
62,16,0.016985,"#fed976"
63,11,0.011677,"#fed976"
64,2,0.002123,"#ffffb2"
68,1,0.001062,"#ffffb2"
70,1,0.001062,"#ffffb2"
83,1,0.001062,"#ffffb2"
171,2,0.002123,"#ffffb2"
173,2,0.002123,"#ffffb2"
174,1,0.001062,"#ffffb2"
176,2,0.002123,"#ffffb2"
177,4,0.004246,"#ffffb2"
178,4,0.004246,"#ffffb2"
179,1,0.001062,"#ffffb2"
181,2,0.002123,"#ffffb2"
183,3,0.003185,"#ffffb2"
184,5,0.005308,"#ffffb2"
185,7,0.007431,"#ffffb2"
186,6,0.006369,"#ffffb2"
187,17,0.018046,"#fed976"
188,19,0.020169,"#fed976"
189,332,0.35243,"#feb24c"
190,1268,1.346029,"#fd8d3c"
191,9291,9.862743,"#fd8d3c"
192,15722,16.68949,"#fc4e2a"
193,19256,20.440963,"#fc4e2a"
194,21531,22.85596,"#fc4e2a"
195,14195,15.068522,"#fc4e2a"
196,7874,8.358545,"#fd8d3c"
197,3554,3.772704,"#fd8d3c"
198,44,0.046708,"#fed976"
199,2,0.002123,"#ffffb2"
200,1,0.001062,"#ffffb2"
222,1,0.001062,"#ffffb2"
231,1,0.001062,"#ffffb2"
263,1,0.001062,"#ffffb2"
275,1,0.001062,"#ffffb2"
305,1,0.001062,"#ffffb2"
317,1,0.001062,"#ffffb2"
