"length","reads","rel","col"
15,1,0.000626,"#ffffb2"
17,2,0.001253,"#ffffb2"
19,1,0.000626,"#ffffb2"
23,1,0.000626,"#ffffb2"
24,2,0.001253,"#ffffb2"
26,2,0.001253,"#ffffb2"
27,4,0.002506,"#ffffb2"
28,2,0.001253,"#ffffb2"
29,2,0.001253,"#ffffb2"
30,5,0.003132,"#ffffb2"
31,1,0.000626,"#ffffb2"
32,3,0.001879,"#ffffb2"
33,23,0.014407,"#fed976"
34,265,0.165991,"#feb24c"
35,482,0.301916,"#feb24c"
36,709,0.444105,"#feb24c"
37,777,0.486699,"#feb24c"
38,617,0.386478,"#feb24c"
39,374,0.234267,"#feb24c"
40,179,0.112122,"#feb24c"
41,8,0.005011,"#ffffb2"
42,2,0.001253,"#ffffb2"
48,1,0.000626,"#ffffb2"
49,6,0.003758,"#ffffb2"
50,6,0.003758,"#ffffb2"
51,5,0.003132,"#ffffb2"
52,4,0.002506,"#ffffb2"
53,4,0.002506,"#ffffb2"
55,2,0.001253,"#ffffb2"
56,3,0.001879,"#ffffb2"
57,13,0.008143,"#ffffb2"
58,34,0.021297,"#fed976"
59,68,0.042594,"#fed976"
60,77,0.048231,"#fed976"
61,57,0.035704,"#fed976"
62,35,0.021923,"#fed976"
63,21,0.013154,"#fed976"
64,10,0.006264,"#ffffb2"
70,4,0.002506,"#ffffb2"
71,1,0.000626,"#ffffb2"
82,1,0.000626,"#ffffb2"
86,1,0.000626,"#ffffb2"
88,1,0.000626,"#ffffb2"
89,2,0.001253,"#ffffb2"
117,1,0.000626,"#ffffb2"
149,1,0.000626,"#ffffb2"
151,1,0.000626,"#ffffb2"
170,2,0.001253,"#ffffb2"
171,1,0.000626,"#ffffb2"
172,2,0.001253,"#ffffb2"
174,3,0.001879,"#ffffb2"
175,3,0.001879,"#ffffb2"
176,3,0.001879,"#ffffb2"
177,3,0.001879,"#ffffb2"
178,3,0.001879,"#ffffb2"
179,2,0.001253,"#ffffb2"
180,4,0.002506,"#ffffb2"
181,2,0.001253,"#ffffb2"
182,2,0.001253,"#ffffb2"
183,5,0.003132,"#ffffb2"
184,3,0.001879,"#ffffb2"
185,8,0.005011,"#ffffb2"
186,7,0.004385,"#ffffb2"
187,14,0.008769,"#ffffb2"
188,52,0.032572,"#fed976"
189,807,0.50549,"#feb24c"
190,2890,1.810244,"#fd8d3c"
191,15748,9.864263,"#fd8d3c"
192,26587,16.653617,"#fc4e2a"
193,32496,20.354908,"#fc4e2a"
194,35160,22.02359,"#fc4e2a"
195,23341,14.620381,"#fc4e2a"
196,12720,7.967578,"#fd8d3c"
197,5855,3.667466,"#fd8d3c"
198,86,0.053869,"#fed976"
199,5,0.003132,"#ffffb2"
200,2,0.001253,"#ffffb2"
205,1,0.000626,"#ffffb2"
207,1,0.000626,"#ffffb2"
218,1,0.000626,"#ffffb2"
251,1,0.000626,"#ffffb2"
279,1,0.000626,"#ffffb2"
309,1,0.000626,"#ffffb2"
323,1,0.000626,"#ffffb2"
349,1,0.000626,"#ffffb2"
393,1,0.000626,"#ffffb2"
411,1,0.000626,"#ffffb2"
