"length","reads","rel","col"
13,1,0.001284,"#ffffb2"
14,1,0.001284,"#ffffb2"
15,3,0.003851,"#ffffb2"
16,1,0.001284,"#ffffb2"
18,1,0.001284,"#ffffb2"
20,1,0.001284,"#ffffb2"
21,1,0.001284,"#ffffb2"
24,1,0.001284,"#ffffb2"
25,2,0.002568,"#ffffb2"
26,6,0.007703,"#ffffb2"
27,7,0.008986,"#ffffb2"
28,1,0.001284,"#ffffb2"
29,4,0.005135,"#ffffb2"
30,6,0.007703,"#ffffb2"
31,3,0.003851,"#ffffb2"
32,6,0.007703,"#ffffb2"
33,27,0.034662,"#fed976"
34,380,0.48783,"#feb24c"
35,763,0.979511,"#feb24c"
36,940,1.206737,"#fd8d3c"
37,1103,1.415991,"#fd8d3c"
38,825,1.059104,"#fd8d3c"
39,433,0.555869,"#feb24c"
40,225,0.288847,"#feb24c"
41,8,0.01027,"#fed976"
42,1,0.001284,"#ffffb2"
45,1,0.001284,"#ffffb2"
48,1,0.001284,"#ffffb2"
49,114,0.146349,"#feb24c"
50,213,0.273442,"#feb24c"
51,238,0.305536,"#feb24c"
52,283,0.363305,"#feb24c"
53,181,0.232361,"#feb24c"
54,153,0.196416,"#feb24c"
55,101,0.12966,"#feb24c"
56,106,0.136079,"#feb24c"
57,193,0.247766,"#feb24c"
58,249,0.319657,"#feb24c"
59,265,0.340197,"#feb24c"
60,311,0.39925,"#feb24c"
61,221,0.283712,"#feb24c"
62,140,0.179727,"#feb24c"
63,69,0.08858,"#fed976"
64,18,0.023108,"#fed976"
87,1,0.001284,"#ffffb2"
170,1,0.001284,"#ffffb2"
171,1,0.001284,"#ffffb2"
174,1,0.001284,"#ffffb2"
177,1,0.001284,"#ffffb2"
179,1,0.001284,"#ffffb2"
181,1,0.001284,"#ffffb2"
182,2,0.002568,"#ffffb2"
183,2,0.002568,"#ffffb2"
184,3,0.003851,"#ffffb2"
185,4,0.005135,"#ffffb2"
186,6,0.007703,"#ffffb2"
187,7,0.008986,"#ffffb2"
188,20,0.025675,"#fed976"
189,231,0.296549,"#feb24c"
190,853,1.09505,"#fd8d3c"
191,6734,8.64486,"#fd8d3c"
192,11745,15.077796,"#fc4e2a"
193,14472,18.578618,"#fc4e2a"
194,16484,21.161549,"#fc4e2a"
195,10734,13.779912,"#fc4e2a"
196,6150,7.895142,"#fd8d3c"
197,2810,3.607374,"#fd8d3c"
198,21,0.026959,"#fed976"
199,1,0.001284,"#ffffb2"
221,1,0.001284,"#ffffb2"
231,1,0.001284,"#ffffb2"
301,1,0.001284,"#ffffb2"
