"length","reads","rel","col"
20,1,0.001226,"#ffffb2"
31,1,0.001226,"#ffffb2"
33,2,0.002452,"#ffffb2"
34,9,0.011034,"#fed976"
35,13,0.015938,"#fed976"
36,13,0.015938,"#fed976"
37,26,0.031876,"#fed976"
38,9,0.011034,"#fed976"
39,6,0.007356,"#ffffb2"
40,6,0.007356,"#ffffb2"
49,3,0.003678,"#ffffb2"
50,4,0.004904,"#ffffb2"
51,2,0.002452,"#ffffb2"
52,1,0.001226,"#ffffb2"
56,2,0.002452,"#ffffb2"
57,1,0.001226,"#ffffb2"
58,3,0.003678,"#ffffb2"
59,3,0.003678,"#ffffb2"
60,8,0.009808,"#ffffb2"
61,11,0.013486,"#fed976"
62,5,0.00613,"#ffffb2"
63,3,0.003678,"#ffffb2"
64,2,0.002452,"#ffffb2"
85,1,0.001226,"#ffffb2"
103,1,0.001226,"#ffffb2"
137,1,0.001226,"#ffffb2"
170,2,0.002452,"#ffffb2"
171,2,0.002452,"#ffffb2"
172,3,0.003678,"#ffffb2"
173,2,0.002452,"#ffffb2"
176,2,0.002452,"#ffffb2"
177,4,0.004904,"#ffffb2"
178,3,0.003678,"#ffffb2"
179,5,0.00613,"#ffffb2"
181,2,0.002452,"#ffffb2"
182,2,0.002452,"#ffffb2"
183,3,0.003678,"#ffffb2"
184,6,0.007356,"#ffffb2"
185,4,0.004904,"#ffffb2"
186,8,0.009808,"#ffffb2"
187,15,0.01839,"#fed976"
188,28,0.034328,"#fed976"
189,335,0.41071,"#feb24c"
190,1209,1.482235,"#fd8d3c"
191,8090,9.918348,"#fd8d3c"
192,13758,16.867322,"#fc4e2a"
193,16942,20.770909,"#fc4e2a"
194,18802,23.051271,"#fc4e2a"
195,12287,15.063875,"#fc4e2a"
196,6831,8.374813,"#fd8d3c"
197,3038,3.724591,"#fd8d3c"
198,41,0.050266,"#fed976"
199,2,0.002452,"#ffffb2"
227,1,0.001226,"#ffffb2"
311,1,0.001226,"#ffffb2"
322,1,0.001226,"#ffffb2"
