"length","reads","rel","col"
15,2,0.002283,"#ffffb2"
16,2,0.002283,"#ffffb2"
17,1,0.001142,"#ffffb2"
19,1,0.001142,"#ffffb2"
23,1,0.001142,"#ffffb2"
25,2,0.002283,"#ffffb2"
26,3,0.003425,"#ffffb2"
27,5,0.005708,"#ffffb2"
28,6,0.006849,"#ffffb2"
29,8,0.009132,"#ffffb2"
30,4,0.004566,"#ffffb2"
31,6,0.006849,"#ffffb2"
32,3,0.003425,"#ffffb2"
33,29,0.033104,"#fed976"
34,413,0.47144,"#feb24c"
35,782,0.892653,"#feb24c"
36,1066,1.216839,"#fd8d3c"
37,1250,1.426875,"#fd8d3c"
38,861,0.982832,"#feb24c"
39,461,0.526232,"#feb24c"
40,231,0.263687,"#feb24c"
41,10,0.011415,"#fed976"
42,6,0.006849,"#ffffb2"
49,2,0.002283,"#ffffb2"
50,3,0.003425,"#ffffb2"
51,2,0.002283,"#ffffb2"
52,3,0.003425,"#ffffb2"
53,2,0.002283,"#ffffb2"
54,1,0.001142,"#ffffb2"
56,2,0.002283,"#ffffb2"
57,10,0.011415,"#fed976"
58,25,0.028538,"#fed976"
59,35,0.039953,"#fed976"
60,60,0.06849,"#fed976"
61,63,0.071915,"#fed976"
62,39,0.044519,"#fed976"
63,16,0.018264,"#fed976"
64,8,0.009132,"#ffffb2"
65,1,0.001142,"#ffffb2"
78,2,0.002283,"#ffffb2"
79,1,0.001142,"#ffffb2"
81,1,0.001142,"#ffffb2"
105,1,0.001142,"#ffffb2"
108,1,0.001142,"#ffffb2"
162,1,0.001142,"#ffffb2"
177,1,0.001142,"#ffffb2"
178,1,0.001142,"#ffffb2"
181,2,0.002283,"#ffffb2"
182,2,0.002283,"#ffffb2"
183,3,0.003425,"#ffffb2"
184,2,0.002283,"#ffffb2"
185,7,0.007991,"#ffffb2"
186,8,0.009132,"#ffffb2"
187,6,0.006849,"#ffffb2"
188,18,0.020547,"#fed976"
189,198,0.226017,"#feb24c"
190,949,1.083284,"#fd8d3c"
191,7809,8.913977,"#fd8d3c"
192,13680,15.615725,"#fc4e2a"
193,17136,19.560751,"#fc4e2a"
194,19622,22.398521,"#fc4e2a"
195,12659,14.450253,"#fc4e2a"
196,6974,7.960824,"#fd8d3c"
197,3056,3.488425,"#fd8d3c"
198,32,0.036528,"#fed976"
199,3,0.003425,"#ffffb2"
203,1,0.001142,"#ffffb2"
239,1,0.001142,"#ffffb2"
363,1,0.001142,"#ffffb2"
382,1,0.001142,"#ffffb2"
