"length","reads","rel","col"
34,1,0.000895,"#ffffb2"
35,3,0.002684,"#ffffb2"
36,3,0.002684,"#ffffb2"
37,9,0.008052,"#ffffb2"
38,5,0.004474,"#ffffb2"
39,1,0.000895,"#ffffb2"
51,1,0.000895,"#ffffb2"
57,4,0.003579,"#ffffb2"
58,8,0.007158,"#ffffb2"
59,9,0.008052,"#ffffb2"
60,8,0.007158,"#ffffb2"
61,9,0.008052,"#ffffb2"
62,4,0.003579,"#ffffb2"
135,1,0.000895,"#ffffb2"
177,1,0.000895,"#ffffb2"
178,2,0.001789,"#ffffb2"
179,1,0.000895,"#ffffb2"
180,1,0.000895,"#ffffb2"
182,2,0.001789,"#ffffb2"
183,7,0.006263,"#ffffb2"
184,5,0.004474,"#ffffb2"
185,5,0.004474,"#ffffb2"
186,8,0.007158,"#ffffb2"
187,14,0.012526,"#fed976"
188,34,0.03042,"#fed976"
189,289,0.258571,"#feb24c"
190,1099,0.983287,"#feb24c"
191,10817,9.678083,"#fd8d3c"
192,18662,16.697087,"#fc4e2a"
193,23292,20.839596,"#fc4e2a"
194,26390,23.611409,"#fc4e2a"
195,16976,15.188605,"#fc4e2a"
196,9624,8.610694,"#fd8d3c"
197,4394,3.931358,"#fd8d3c"
198,69,0.061735,"#fed976"
199,5,0.004474,"#ffffb2"
208,1,0.000895,"#ffffb2"
233,1,0.000895,"#ffffb2"
235,1,0.000895,"#ffffb2"
393,2,0.001789,"#ffffb2"
